date,daily_sales,region
2024-01-01,101.52,West
2024-01-02,95.82,East
2024-01-03,105.79,North
2024-01-04,107.75,West
2024-01-05,94.31,East
2024-01-06,98.57,East
2024-01-07,106.74,East
2024-01-08,105.54,East
2024-01-09,108.05,North
2024-01-10,104.89,East
2024-01-11,114.57,West
2024-01-12,115.08,South
2024-01-13,112.53,East
2024-01-14,118.86,North
2024-01-15,116.57,South
2024-01-16,110.96,South
2024-01-17,118.11,West
2024-01-18,112.49,North
2024-01-19,122.7,South
2024-01-20,119.07,South
2024-01-21,119.41,West
2024-01-22,117.95,West
2024-01-23,128.49,North
2024-01-24,122.62,North
2024-01-25,122.27,West
2024-01-26,123.66,North
2024-01-27,129.1,West
2024-01-28,129.28,South
2024-01-29,130.54,West
2024-01-30,131.65,South
2024-01-31,141.22,South
2024-02-01,129.49,East
2024-02-02,129.98,North
2024-02-03,129.49,East
2024-02-04,137.66,East
2024-02-05,141.24,West
2024-02-06,136.04,West
2024-02-07,133.43,East
2024-02-08,134.52,South
2024-02-09,142.91,South
2024-02-10,144.39,South
2024-02-11,144.41,West
2024-02-12,139.38,South
2024-02-13,144.89,North
2024-02-14,145.33,South
2024-02-15,146.86,North
2024-02-16,151.14,North
2024-02-17,148.91,North
2024-02-18,152.21,West
2024-02-19,150.17,East
2024-02-20,152.29,East
2024-02-21,155.02,South
2024-02-22,145.6,East
2024-02-23,152.3,North
2024-02-24,152.56,West
2024-02-25,152.74,East
2024-02-26,155.57,West
2024-02-27,165.44,North
2024-02-28,154.65,South
2024-02-29,164.84,East
