employee_id,department,salary,years_at_company,performance_rating,attrition,hire_date
1,Support,49912.42,11.2,2,No,2022-02-22
2,Finance,83145.63,0.6,2,No,2020-01-18
3,Finance,82888.62,6.8,3,No,2011-03-23
4,Sales,140421.8,5.2,1,No,2016-06-20
5,HR,95376.41,14.6,4,Yes,2015-11-20
6,Sales,113389.19,0.9,2,No,2012-04-28
7,Support,127249.82,2.6,3,No,2015-12-22
8,Sales,95152.97,3.8,4,No,2025-11-23
9,Engineering,62508.14,0.7,3,No,2012-04-19
10,Support,91417.74,13.3,4,Yes,2013-04-24
11,Finance,83842.42,8.8,3,No,2013-09-16
12,Engineering,54354.02,2.6,4,No,2017-07-20
13,Finance,130103.43,0.4,1,No,2019-05-25
14,HR,54922.88,0.2,3,No,2023-03-17
15,Marketing,128058.62,7.7,2,Yes,2023-03-18
16,Engineering,102087.07,7.4,1,No,2025-05-08
17,Engineering,47164.92,7.4,1,No,2019-03-05
18,Sales,66361.06,13.1,4,No,2025-09-25
19,Marketing,80692.18,10.1,3,No,2019-08-04
20,Engineering,100949.03,3.6,2,Yes,2022-11-02
21,Marketing,45581.74,3.7,4,No,2013-12-19
22,HR,124402.18,3.0,1,No,2016-07-14
23,Support,107919.74,9.8,1,No,2016-02-08
24,Sales,83141.34,4.3,2,No,2012-08-26
25,Engineering,107779.5,8.2,1,No,2025-04-06
26,HR,134561.39,2.6,1,No,2015-08-10
27,Finance,108820.23,7.4,2,No,2011-10-24
28,Engineering,43365.23,7.3,5,Yes,2019-02-28
29,Support,130214.65,6.2,5,No,2020-01-20
30,Finance,93937.75,14.0,2,No,2016-04-09
31,Marketing,86923.03,13.9,1,Yes,2020-10-04
32,Marketing,52172.85,5.4,1,No,2016-05-06
33,Marketing,103449.52,14.8,5,Yes,2024-09-10
34,Sales,66297.85,13.4,5,Yes,2015-10-07
35,Support,129261.67,7.7,3,No,2024-01-03
36,Engineering,38379.39,11.6,,Yes,2018-09-23
37,Engineering,139120.45,10.4,2,No,2024-06-19
38,Engineering,70983.64,13.5,1,No,2014-11-08
39,Finance,132602.41,6.2,5,No,2025-04-28
40,Sales,132311.53,0.6,3,No,2017-11-28
41,Sales,122249.07,1.8,1,No,2014-04-27
42,Sales,61852.82,10.0,4,No,2024-02-25
43,HR,110708.44,12.7,3,No,2012-05-06
44,Engineering,49599.07,6.6,3,No,2019-02-13
45,Engineering,113840.03,0.2,5,No,2022-12-22
46,Support,136522.48,9.4,1,No,2015-09-10
47,Support,69635.11,2.1,4,No,2017-11-24
48,Marketing,81450.04,12.5,3,No,2017-10-20
49,HR,110292.11,7.8,2,No,2015-09-22
50,Sales,109989.14,3.5,2,Yes,2011-04-16
51,HR,82345.19,9.5,2,No,2017-08-13
52,Engineering,133514.6,12.9,1,No,2014-03-26
53,Engineering,97642.42,13.8,1,No,2023-08-22
54,Marketing,139654.24,13.4,5,No,2025-09-14
55,Sales,117571.13,7.2,3,No,2024-11-09
56,Support,63599.31,6.7,3,No,2016-06-18
57,HR,112252.63,10.7,1,No,2016-09-15
58,HR,79674.02,11.6,1,No,2023-10-13
59,Marketing,118621.84,12.8,4,No,2022-09-26
60,Sales,67204.08,7.4,4,No,2021-07-24
61,Sales,142937.25,8.1,4,No,2021-01-03
62,HR,57445.01,4.1,3,No,2016-06-25
63,HR,64993.05,1.4,1,No,2011-06-08
64,Support,42307.62,0.7,2,No,2011-10-05
65,Engineering,98344.75,3.4,3,No,2013-10-20
66,Sales,141225.12,1.8,1,No,2020-11-13
67,Engineering,101354.47,12.5,2,Yes,2023-05-28
68,Finance,121741.98,5.3,4,No,2012-09-21
69,HR,49292.66,14.4,4,No,2017-03-24
70,Finance,124477.32,8.2,4,No,2024-12-19
71,Engineering,,6.9,4,No,2021-07-11
72,Sales,90167.84,5.5,3,No,2025-10-23
73,Finance,139442.7,1.5,4,No,2023-04-23
74,HR,122843.82,1.6,2,No,2014-05-22
75,Finance,74782.04,15.0,5,No,2022-08-09
76,Support,58606.52,2.0,5,No,2022-03-07
77,Support,101085.8,11.5,5,No,2012-04-10
78,Engineering,113757.98,2.1,1,No,2019-05-23
79,HR,48976.88,0.4,3,No,2018-06-06
80,HR,50207.32,1.2,4,Yes,2021-11-02
81,Marketing,47114.36,3.9,5,No,2020-10-26
82,HR,86205.05,6.8,5,No,2015-10-20
83,Engineering,139392.15,3.3,2,No,2012-03-08
84,Engineering,81711.38,10.4,4,No,2014-05-23
85,Engineering,111550.19,13.9,5,No,2025-04-14
86,Sales,135200.02,12.4,1,Yes,2023-05-20
87,Marketing,84989.42,7.1,3,No,2015-09-18
88,Engineering,133168.25,11.1,5,No,2012-04-22
89,Engineering,144954.25,10.1,3,No,2023-03-16
90,Marketing,57419.34,8.9,4,No,2018-06-14
91,Sales,73288.99,10.5,3,No,2017-09-02
92,Marketing,50403.61,11.6,5,No,2011-11-28
93,Sales,93473.01,9.4,4,No,2023-01-07
94,Marketing,84878.42,10.5,1,Yes,2021-10-26
95,Finance,39463.17,6.2,2,No,2025-02-15
96,Sales,91326.18,10.8,5,No,2017-08-16
97,HR,58395.31,9.1,2,No,2015-07-11
98,Engineering,68263.77,4.6,5,No,2021-08-28
99,Marketing,73571.08,11.5,4,No,2016-04-23
100,HR,42670.26,11.2,4,No,2021-11-05
101,Finance,141292.83,5.1,,No,2018-02-17
102,Sales,81867.71,9.9,2,Yes,2023-05-11
103,Engineering,129138.89,12.8,5,No,2016-11-23
104,Finance,41841.2,1.2,3,No,2022-02-14
105,Support,131365.98,6.8,3,No,2011-06-26
106,HR,53575.97,8.1,5,No,2013-03-06
107,Finance,111095.4,7.6,5,Yes,2018-11-09
108,HR,134429.41,10.2,2,Yes,2016-10-10
109,Marketing,86881.43,4.7,4,No,2012-04-13
110,Support,69589.69,14.7,4,No,2020-11-25
111,Finance,117733.42,12.5,3,No,2014-10-26
112,Finance,,11.4,2,No,2025-11-21
113,Engineering,100014.4,11.0,1,No,2016-12-14
114,Finance,131781.28,5.6,5,No,2024-03-09
115,Marketing,117881.85,5.2,1,No,2012-03-25
116,Support,110161.47,6.1,5,No,2023-07-01
117,Marketing,109992.64,10.2,5,No,2021-06-04
118,Finance,132613.13,8.5,5,No,2012-11-27
119,Support,81687.66,2.3,1,No,2018-02-04
120,HR,86539.88,10.1,5,No,2022-12-05
121,HR,103874.79,14.1,3,Yes,2016-04-15
122,Marketing,48630.94,10.3,5,No,2021-06-02
123,Engineering,139544.15,12.4,1,No,2021-11-20
124,Marketing,64061.87,2.1,5,No,2024-09-07
125,Sales,73155.87,2.4,5,Yes,2024-03-05
126,Engineering,108733.17,0.6,1,No,2023-04-19
127,Engineering,51563.16,6.4,1,No,2018-08-25
128,HR,91910.74,14.2,1,No,2025-11-17
129,Engineering,44508.32,7.3,4,No,2012-08-23
130,Engineering,72465.96,2.4,2,No,2021-10-18
131,Finance,94769.58,6.9,5,No,2023-12-04
132,Finance,115129.87,3.4,4,No,2017-06-27
133,Engineering,71442.67,4.8,3,No,2013-11-16
134,Engineering,84210.79,11.2,3,No,2019-01-19
135,Support,51078.75,5.4,4,No,2022-01-10
136,Finance,92293.14,2.5,4,No,2012-06-28
137,Marketing,99428.7,12.1,5,No,2024-10-20
138,Finance,137412.02,12.5,3,Yes,2015-12-25
139,Engineering,57410.39,2.3,4,Yes,2022-11-01
140,HR,82922.08,5.2,3,No,2016-10-20
141,Sales,118724.64,0.9,1,No,2021-07-16
142,Sales,118778.92,1.9,4,Yes,2021-11-19
143,Engineering,61595.47,14.8,1,Yes,2015-04-25
144,Marketing,50838.32,7.6,4,Yes,2017-09-23
145,Support,124263.42,1.3,1,No,2018-02-28
146,HR,113916.39,6.4,1,No,2016-03-26
147,Support,136415.36,1.5,1,No,2020-07-17
148,Support,74327.92,5.1,2,Yes,2021-02-17
149,Marketing,75567.67,14.4,2,No,2013-05-07
150,Support,46062.8,14.3,4,No,2020-10-15
151,Support,105976.92,9.4,3,Yes,2012-08-15
152,Finance,44010.42,7.7,3,No,2011-01-12
153,Engineering,103805.9,7.7,4,No,2023-12-02
154,Support,58141.62,9.2,5,Yes,2011-08-04
155,Support,47023.22,9.8,1,No,2018-08-17
156,Marketing,136219.24,5.9,3,No,2011-11-21
157,Finance,110586.59,4.4,5,No,2016-02-19
158,Marketing,141543.53,10.5,4,Yes,2022-02-10
159,Marketing,125010.77,10.1,5,Yes,2021-07-17
160,Sales,139775.12,5.3,4,No,2013-03-03
161,Finance,120483.6,12.6,5,Yes,2016-10-05
162,Sales,126953.92,11.6,2,No,2011-07-12
163,HR,103333.71,11.3,4,No,2014-05-26
164,Sales,77358.98,14.2,4,No,2015-07-17
165,Sales,123734.74,2.2,3,Yes,2018-06-18
166,Finance,129074.77,4.4,2,No,2025-09-05
167,Sales,125387.25,13.3,1,No,2017-09-12
168,Marketing,62025.65,4.9,1,No,2021-06-26
169,HR,112479.7,2.3,4,No,2011-02-01
170,Finance,138604.18,9.2,4,Yes,2015-04-10
171,Support,,7.0,1,No,2018-10-18
172,Sales,114884.24,4.5,1,No,2014-10-14
173,Finance,,1.2,5,No,2023-09-18
174,Engineering,106016.77,14.7,3,No,2016-02-12
175,Engineering,120550.65,11.1,3,Yes,2016-09-11
176,Support,87714.65,10.5,2,No,2012-12-25
177,Sales,42687.27,3.2,1,No,2015-09-13
178,Marketing,41918.42,9.8,3,No,2023-01-28
179,Marketing,84753.8,6.1,4,No,2017-06-06
180,Finance,66539.11,1.4,4,Yes,2020-03-18
181,Marketing,108718.36,4.7,5,No,2013-12-15
182,Marketing,103789.11,6.6,1,Yes,2021-07-12
183,Sales,139948.47,2.3,5,No,2018-01-05
184,Marketing,76750.11,14.3,1,No,2021-08-12
185,Finance,52733.38,5.6,3,No,2014-02-01
186,HR,135749.05,1.9,3,No,2014-10-10
187,Sales,51122.2,12.8,4,Yes,2022-08-03
188,Marketing,109458.86,10.7,5,No,2025-05-28
189,Support,106233.9,11.9,,No,2014-03-08
190,Finance,99233.68,7.1,5,Yes,2025-02-03
191,Support,89217.17,6.3,4,No,2012-03-11
192,Support,93357.52,2.1,5,No,2013-03-14
193,Engineering,93436.93,4.7,2,No,2022-04-12
194,Marketing,128514.91,3.9,5,No,2021-05-20
195,Sales,101323.5,8.8,2,No,2022-10-11
196,Engineering,46690.85,14.2,5,No,2014-10-14
197,Support,96376.79,9.7,3,No,2023-11-13
198,Engineering,54914.61,6.4,4,No,2020-03-11
199,Marketing,142365.03,2.1,3,No,2012-06-08
200,Sales,53073.91,0.9,4,No,2017-04-28
