movie_id,title,genre,release_year,rating,votes,revenue_millions
1,The Wild City,Comedy,2005,6.0,270014,396.8
2,The Silent River,Sci-Fi,2024,9.3,112947,
3,The Wild Storm,Drama,1995,8.4,226080,113.9
4,The Hidden City,Action,2020,2.9,294703,165.5
5,The Secret Storm,Documentary,2012,8.3,326908,578.4
6,The Hidden City,Documentary,2016,6.4,191833,641.7
7,The Secret Horizon,Action,1997,3.5,174759,683.4
8,The Secret Shadow,Drama,2015,3.6,323373,628.4
9,The Secret Legacy,Horror,2014,5.8,8872,313.2
10,The Wild Dream,Documentary,1996,6.7,139364,822.0
11,The Wild Kingdom,Romance,1998,6.6,89547,445.6
12,The Hidden Shadow,Documentary,2010,2.7,497282,595.5
13,The Hidden Shadow,Horror,2008,5.4,406458,519.8
14,The Lost Shadow,Sci-Fi,2008,6.4,347347,406.7
15,The Final Legacy,Drama,2017,7.2,455050,612.8
16,The Wild Storm,Comedy,2010,4.5,156649,191.2
17,The Distant Kingdom,Romance,2026,4.7,183023,476.5
18,The Distant Journey,Sci-Fi,2019,8.8,206998,695.6
19,The Distant Horizon,Drama,2000,4.9,232082,557.6
20,The Secret Dream,Sci-Fi,2012,3.5,322942,629.8
21,The Secret Kingdom,Romance,2009,2.9,216838,280.8
22,The Golden Horizon,Sci-Fi,2005,5.3,490376,748.6
23,The Distant City,Drama,1998,8.9,47053,554.5
24,The Lost Shadow,Horror,2006,9.0,19202,847.6
25,The Distant Horizon,Action,2014,6.5,56406,789.2
26,The Secret Legacy,Horror,2003,8.5,245527,232.0
27,The Final Dream,Romance,2006,2.6,176893,672.2
28,The Golden Signal,Documentary,2020,8.3,270305,278.8
29,The Golden Storm,Drama,2010,2.5,201253,200.3
30,The Distant Signal,Romance,1995,4.3,188658,588.9
31,The Distant Shadow,Horror,2014,7.3,335018,778.7
32,The Broken Shadow,Horror,2004,5.7,317731,317.6
33,The Secret Kingdom,Documentary,2010,7.3,312528,742.2
34,The Eternal Journey,Sci-Fi,2002,2.9,287275,767.5
35,The Golden City,Documentary,2023,3.3,107839,609.4
36,The Final Horizon,Horror,2003,6.1,239643,479.4
37,The Distant Horizon,Horror,2011,8.2,391166,185.3
38,The Silent Legacy,Action,1999,9.4,247651,27.1
39,The Hidden City,Horror,2023,8.6,475557,320.9
40,The Secret Shadow,Romance,2017,3.3,281828,334.2
41,The Lost Horizon,Drama,2024,7.2,285596,360.6
42,The Final City,Comedy,2012,3.8,459011,616.3
43,The Hidden Signal,Documentary,1996,4.2,35429,
44,The Lost Kingdom,Romance,1997,5.3,123011,458.8
45,The Golden Legacy,Drama,2009,8.2,383675,489.7
46,The Eternal Kingdom,Drama,2004,9.4,273435,188.0
47,The Wild Shadow,Romance,2022,6.4,24730,826.4
48,The Secret City,Romance,2021,5.4,157377,320.1
49,The Broken Dream,Documentary,2004,8.1,479737,49.1
50,The Secret Shadow,Horror,2010,4.3,173302,549.7
51,The Silent Legacy,Romance,2007,2.9,197894,572.7
52,The Broken Signal,Romance,2008,5.9,456004,771.0
53,The Broken Kingdom,Romance,2002,7.7,395636,407.1
54,The Broken River,Comedy,2015,7.9,199726,396.4
55,The Eternal Legacy,Horror,2024,3.2,378902,399.1
56,The Eternal City,Horror,1997,6.4,116161,
57,The Wild Signal,Romance,2021,4.6,103010,280.5
58,The Final Legacy,Romance,2016,4.3,430900,415.4
59,The Final Shadow,Romance,2017,3.7,377801,464.6
60,The Lost Legacy,Action,1999,9.1,350487,
61,The Broken Journey,Romance,2004,2.6,265299,387.7
62,The Wild Storm,Romance,2026,2.6,279182,
63,The Distant Legacy,Drama,1996,6.0,366029,573.0
64,The Silent Journey,Sci-Fi,2004,4.2,325093,447.5
65,The Hidden Journey,Drama,2020,5.7,127660,841.7
66,The Silent Horizon,Action,2020,5.2,289924,404.7
67,The Silent Storm,Documentary,2022,7.0,173831,481.0
68,The Secret Horizon,Comedy,2008,8.8,363108,754.4
69,The Silent Dream,Sci-Fi,1997,3.8,446018,267.4
70,The Hidden Journey,Drama,2005,6.4,297261,709.5
71,The Eternal River,Documentary,2003,8.0,361547,615.6
72,The Lost Journey,Horror,2009,8.4,178718,514.4
73,The Eternal Horizon,Romance,2012,8.0,236368,417.1
74,The Hidden Shadow,Romance,2019,3.1,324482,251.1
75,The Distant Shadow,Horror,2004,7.7,166180,306.7
76,The Final City,Documentary,2012,3.2,45918,159.4
77,The Hidden Journey,Action,2000,5.0,48942,507.4
78,The Lost Dream,Horror,2019,8.0,380176,766.0
79,The Wild Legacy,Comedy,2019,3.7,141140,256.0
80,The Hidden Dream,Horror,2014,5.9,40478,307.0
81,The Final Signal,Sci-Fi,2007,5.7,71185,259.0
82,The Wild River,Documentary,2016,5.6,225916,693.2
83,The Golden Dream,Drama,2007,5.9,93283,819.9
84,The Final Signal,Documentary,2010,4.8,147108,694.0
85,The Wild Kingdom,Sci-Fi,2006,7.3,288560,23.0
86,The Broken Storm,Documentary,2013,8.3,36409,696.1
87,The Final Shadow,Romance,2014,4.2,345479,131.1
88,The Final Signal,Horror,2020,6.2,484327,782.3
89,The Eternal Legacy,Sci-Fi,2000,3.3,130294,559.0
90,The Lost Signal,Romance,2020,,174002,820.9
91,The Distant Kingdom,Sci-Fi,2009,5.6,205216,393.7
92,The Golden City,Action,2025,3.2,218240,782.5
93,The Golden City,Drama,2016,5.7,108608,443.0
94,The Final City,Action,2014,2.8,372802,97.9
95,The Golden Kingdom,Sci-Fi,2006,6.4,173683,475.9
96,The Hidden Shadow,Comedy,2022,5.3,386753,522.0
97,The Hidden Horizon,Romance,2008,3.9,394585,598.2
98,The Secret Shadow,Drama,2015,3.9,59895,223.1
99,The Eternal Signal,Horror,2020,6.6,182562,299.3
100,The Distant Signal,Sci-Fi,2000,7.2,164349,100.3
101,The Golden Legacy,Horror,2021,6.7,301513,326.2
102,The Golden Legacy,Comedy,2026,4.5,98243,267.5
103,The Eternal Horizon,Horror,2003,3.9,201447,819.3
